,country,video_num,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,일본,1327,199766.75867269986,3632.1463046757162,116.06410256410257,0.0,403.2707390648567
1,대만,76,384516.4868421053,5243.618421052632,185.47368421052633,0.0,849.2763157894736
2,홍콩,5,123017.0,1594.4,85.4,0.0,355.0
3,마카오,1,5100.0,231.0,17.0,0.0,38.0
4,태국,18,126081.16666666667,2876.5,54.888888888888886,0.0,357.1111111111111
5,말레이시아,4,185558.25,3533.25,155.75,0.0,422.0
6,필리핀,23,151442.30434782608,3287.8260869565215,94.78260869565217,0.0,352.69565217391306
7,인도네시아,21,139786.04761904763,3384.8571428571427,84.04761904761905,0.0,245.0952380952381
8,싱가포르,6,67481.16666666667,1800.3333333333333,36.5,0.0,76.5
9,브루나이,0,,,,,
10,미얀마,25,321149.72,7729.76,253.96,0.0,748.24
11,라오스,2,299249.5,5642.0,134.5,0.0,286.5
12,베트남,61,146414.3606557377,2621.4590163934427,106.1311475409836,0.0,374.9016393442623
13,티모르,0,,,,,
14,인도,45,202505.66666666666,3844.488888888889,103.31111111111112,0.0,353.8
15,스리랑카,4,257317.25,3922.5,107.75,0.0,307.75
16,파키스탄,2,62249.5,1571.5,51.0,0.0,78.5
17,네팔,0,,,,,
18,방글라데시,0,,,,,
19,아프가니스탄,0,,,,,
20,캄보디아,1,116326.0,0.0,0.0,0.0,140.0
21,부탄,0,,,,,
22,몰디브,1,174122.0,3256.0,111.0,0.0,350.0
23,몽골,6,407045.6666666667,9419.166666666666,294.5,0.0,865.5
24,시킴,0,,,,,
25,중국,374,307902.6380697051,5349.375335120643,177.40214477211796,0.0,694.798927613941
26,북한,34,292846.1212121212,6159.090909090909,141.0909090909091,0.0,566.9090909090909
27,마요테,0,,,,,
28,영령인도양섬,0,,,,,
29,국제연합,0,,,,,
30,이란,18,265885.22222222225,5099.611111111111,79.33333333333333,0.0,395.94444444444446
31,사우디아라비아,0,,,,,
32,이스라엘,11,430425.54545454547,8686.181818181818,327.3636363636364,0.0,506.27272727272725
33,요르단,1,313917.0,8466.0,78.0,0.0,597.0
34,레바논,4,228431.25,4079.75,132.0,0.0,359.75
35,쿠웨이트,0,,,,,
36,시리아,0,,,,,
37,터키,14,512670.21428571426,6688.357142857143,126.14285714285714,0.0,338.42857142857144
38,예멘공화국,0,,,,,
39,예멘인민민주주의공화국,0,,,,,
40,카타르,15,116496.8,1825.0,69.0,0.0,363.06666666666666
41,아랍에미리트연합,0,,,,,
42,오만,0,,,,,
43,이라크,1,280665.0,5769.0,46.0,0.0,707.0
44,바레인,0,,,,,
45,키프로스,0,,,,,
46,팔레스타인,0,,,,,
47,우즈베키스탄,3,97530.0,4204.0,83.0,0.0,191.33333333333334
48,카자흐스탄,1,12985.0,489.0,9.0,0.0,38.0
49,키르기스스탄,1,243560.0,8808.0,224.0,0.0,298.0
50,투르크메니스탄,6,260055.83333333334,4815.5,95.5,0.0,423.6666666666667
51,타지키스탄,0,,,,,
52,중동 기타,0,,,,,
53,미국,560,341946.18279569893,5757.921146953405,138.9820788530466,0.0,502.2903225806452
54,캐나다,16,184753.5625,3994.5,77.75,0.0,260.3125
55,멕시코,15,135065.2,3016.133333333333,43.8,0.0,240.8
56,니카라과,0,,,,,
57,온두라스,2,90154.0,1138.5,42.5,0.0,167.0
58,도미니카연방,0,,,,,
59,엘살바도르,0,,,,,
60,아이티,0,,,,,
61,트리니다드토바고,0,,,,,
62,과테말라,0,,,,,
63,자메이카,1,,,,,
64,바베이도스,0,,,,,
65,세인트빈센트 그레나딘,0,,,,,
66,바하마,0,,,,,
67,버뮤다,0,,,,,
68,벨리즈,0,,,,,
69,세인트루시아,0,,,,,
70,푸에르토리코,0,,,,,
71,쿠바,1,497426.0,12487.0,293.0,0.0,466.0
72,앤티가바부다,0,,,,,
73,파나마,0,,,,,
74,코스타리카,1,24031.0,808.0,9.0,0.0,35.0
75,도미니카공화국,0,,,,,
76,터크스케이커스,0,,,,,
77,영령 버진아일랜드,0,,,,,
78,네덜란드령 앤틸리스,0,,,,,
79,케이만아일랜드,0,,,,,
80,앵귈라,0,,,,,
